ambient,coolant,u_d,u_q,motor_speed,torque,i_d,i_q,pm,stator_yoke,stator_tooth,stator_winding
-0.94860786,-1.0922922,0.1897999,1.6736389,2.0241156,-0.26751986,-0.86190975,-0.2570754,-2.3022785,-1.7465687,-1.7813947,-1.672202
-0.941947,-1.0920708,0.18877776,1.6742636,2.0241177,-0.2664444,-0.86138093,-0.25669214,-2.2980127,-1.7464907,-1.7737615,-1.668121
-0.9304571,-1.0919458,0.18960246,1.6701511,2.0241163,-0.2666966,-0.86269426,-0.25722498,-2.2951298,-1.7464348,-1.7684944,-1.6653798
-0.9249145,-1.0917178,0.18817598,1.6721696,2.0241175,-0.26652926,-0.86165273,-0.25680736,-2.2923717,-1.7463948,-1.7647203,-1.6641645
-0.9211745,-1.0914268,0.18828775,1.6740814,2.0241191,-0.26553077,-0.8604864,-0.25642222,-2.2903745,-1.7463661,-1.7618569,-1.6628367
-0.9111451,-1.0913659,0.18786569,1.6740202,2.0241172,-0.26662803,-0.8604193,-0.25631833,-2.2869291,-1.7463456,-1.7596029,-1.6606029
-0.89305663,-1.0913547,0.186798,1.674738,2.0241172,-0.26709548,-0.8599274,-0.25617215,-2.2808976,-1.746331,-1.757988,-1.6539937
-0.87375563,-1.091332,0.18668815,1.6731007,2.0241165,-0.26643002,-0.8596347,-0.25658932,-2.282427,-1.7463204,-1.7568308,-1.6465619
-0.85655445,-1.0912846,0.18653108,1.673581,2.024115,-0.26745075,-0.8597296,-0.25630504,-2.276243,-1.7463129,-1.7556834,-1.6411573
-0.8468442,-1.091248,0.18657184,1.674496,2.0241153,-0.26755026,-0.85934114,-0.25618595,-2.2748613,-1.7463074,-1.753661,-1.6359227
-0.84208244,-1.091234,0.18721832,1.67518,2.0241175,-0.26652032,-0.85891455,-0.25623426,-2.272301,-1.7463036,-1.7512207,-1.630089
-0.8182194,-1.0912024,0.18878677,1.6736494,2.0241191,-0.26811603,-0.85972154,-0.25666493,-2.2722068,-1.7463007,-1.7490002,-1.6264358
-0.7905633,-1.0911676,0.18935771,1.6700788,2.0241199,-0.26909417,-0.86058456,-0.25694072,-2.2704713,-1.7462988,-1.7464588,-1.6247209
-0.7628559,-1.0911212,0.18897925,1.6700041,2.0241172,-0.26936755,-0.86095244,-0.2569735,-2.2656791,-1.7462974,-1.7441736,-1.6214375
-0.7408418,-1.0912693,0.18870632,1.6713752,2.0241165,-0.26864478,-0.8602506,-0.25694293,-2.2620897,-1.7462963,-1.742003,-1.6164111
-0.7219865,-1.0910976,0.18870059,1.6725751,2.0241177,-0.26673564,-0.85961074,-0.25705984,-2.2592266,-1.7462956,-1.7396872,-1.6111902
-0.7124067,-1.0911433,0.18783295,1.671993,2.0241196,-0.26658365,-0.85964733,-0.2566174,-2.2573705,-1.746295,-1.7368853,-1.6059893
-0.7062808,-1.0911148,0.18708189,1.6728743,2.0241199,-0.26579344,-0.8589296,-0.25646472,-2.2551663,-1.7462947,-1.733675,-1.6002142
-0.7109573,-1.0911732,0.18773119,1.6725723,2.024118,-0.2659775,-0.85819703,-0.25679353,-2.2526708,-1.7462944,-1.7303296,-1.5950071
-0.7047662,-1.0912194,0.18843463,1.6741292,2.0241175,-0.26588827,-0.8571493,-0.2564578,-2.2494504,-1.7462943,-1.7264895,-1.5908854
-0.7061524,-1.0905997,0.18983912,1.6747909,2.024115,-0.266582,-0.8569488,-0.2565784,-2.2486544,-1.7462941,-1.7231724,-1.5892189
-0.7150576,-1.089893,0.19026472,1.6739677,2.0241134,-0.26601228,-0.8571251,-0.256873,-2.2458467,-1.746294,-1.7200475,-1.5879635
-0.71898323,-1.0891865,0.18939939,1.6746502,2.0241175,-0.2669768,-0.85686344,-0.25643104,-2.240008,-1.7462939,-1.7168471,-1.5838267
-0.7211634,-1.0884397,0.19008152,1.670973,2.0241172,-0.26484096,-0.8580722,-0.2570457,-2.2379875,-1.7462938,-1.7133287,-1.5788438
-0.7419208,-1.0881664,0.18951094,1.6710918,2.0241165,-0.26544568,-0.85793775,-0.25664148,-2.2320154,-1.7462938,-1.7098322,-1.5764177
-0.7612419,-1.0878943,0.18856402,1.6738843,2.0241184,-0.2650852,-0.85647005,-0.2565491,-2.230607,-1.7462938,-1.7069224,-1.5744404
-0.77517885,-1.087726,0.18833305,1.6724981,2.0241196,-0.26603788,-0.8570034,-0.25651395,-2.228721,-1.7462937,-1.704201,-1.5699989
-0.80243653,-1.0875733,0.18954416,1.6701802,2.0241163,-0.26679042,-0.85826284,-0.25716802,-2.225495,-1.7462937,-1.7011237,-1.5644298
-0.83349043,-1.0873697,0.1891139,1.6668552,2.0241165,-0.26666898,-0.8590865,-0.257432,-2.223166,-1.7462937,-1.6985143,-1.5576862
-0.8531698,-1.0871903,0.18983093,1.667598,2.0241172,-0.26736757,-0.8586721,-0.2573835,-2.2224581,-1.7462937,-1.6952722,-1.5557323
-0.8691103,-1.0871785,0.18817286,1.6714873,2.024118,-0.26649755,-0.85648364,-0.25679973,-2.2194197,-1.7462937,-1.6912843,-1.5554047
-0.8835612,-1.087651,0.18941152,1.67247,2.0241172,-0.26598516,-0.85633475,-0.25707805,-2.2173507,-1.7462937,-1.6883091,-1.5511571
